"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Mar 26 16:12:33 CST 2021","Fri Mar 26 16:12:33 CST 2021","60","register","test_03_register_repeat","TestRegister","","","重复注册：手机号相同，姓名不同","重复注册：手机号相同，姓名不同，预期第二次注册失败"
"failed","Fri Mar 26 16:07:31 CST 2021","Fri Mar 26 16:07:31 CST 2021","60","register","test_02_register_verify_code","TestRegister","","","多次请求验证码，使用最新验证码注册","多次请求验证码，使用最新验证码注册，预期注册成功"
"failed","Fri Mar 26 16:07:31 CST 2021","Fri Mar 26 16:07:31 CST 2021","6","register","test_02_register_verify_code","TestRegister","","","未请求验证码注册","未请求短信验证码，使用任意验证码注册，预期注册失败"
"passed","Fri Mar 26 16:12:34 CST 2021","Fri Mar 26 16:12:34 CST 2021","9","register","test_04_register_param","TestRegister","","","测试数据：【美洋洋, , 123456, 手机号不合法】","该用例对注册接口参数进行校验"
"passed","Fri Mar 26 16:12:34 CST 2021","Fri Mar 26 16:13:36 CST 2021","61329","send_verification_code","test_02_send_verification_code_repeat","TestSendVerificationCode","","","测试数据：【13800000059】","相同手机号大于60s重复请求验证码"
"failed","Fri Mar 26 16:07:31 CST 2021","Fri Mar 26 16:07:31 CST 2021","66","register","test_02_register_verify_code","TestRegister","","","多次请求验证码，使用非最新验证码注册","多次请求验证码，使用非最新验证码注册，预期注册失败"
"passed","Fri Mar 26 16:12:33 CST 2021","Fri Mar 26 16:12:33 CST 2021","6","register","test_04_register_param","TestRegister","","","测试数据：【美洋洋, 0317-2868428, 123456, 手机号不合法】","该用例对注册接口参数进行校验"
"passed","Fri Mar 26 16:12:34 CST 2021","Fri Mar 26 16:12:34 CST 2021","6","register","test_04_register_param","TestRegister","","","测试数据：【美洋洋, 138000000577, 123456, 手机号不合法】","该用例对注册接口参数进行校验"
"passed","Fri Mar 26 16:12:34 CST 2021","Fri Mar 26 16:12:34 CST 2021","15","register","test_04_register_param","TestRegister","","","测试数据：【美洋洋, 1380000007, 123456, 手机号不合法】","该用例对注册接口参数进行校验"
"passed","Fri Mar 26 16:12:33 CST 2021","Fri Mar 26 16:12:33 CST 2021","8","register","test_04_register_param","TestRegister","","","测试数据：【美洋洋, 11123456789, 123456, 手机号不合法】","该用例对注册接口参数进行校验"
"passed","Fri Mar 26 16:12:33 CST 2021","Fri Mar 26 16:12:33 CST 2021","5","register","test_04_register_param","TestRegister","","","测试数据：【美美美美美美美美美美美, 13800000057, 123456, 联系人姓名由2-10个汉字组成】","该用例对注册接口参数进行校验"
"passed","Fri Mar 26 16:12:34 CST 2021","Fri Mar 26 16:12:34 CST 2021","5","register","test_04_register_param","TestRegister","","","测试数据：【美洋洋, 138000000 7, 123456, 手机号不合法】","该用例对注册接口参数进行校验"
"passed","Fri Mar 26 16:14:37 CST 2021","Fri Mar 26 16:14:37 CST 2021","7","send_verification_code","test_03_send_verification_code_param","TestSendVerificationCode","","","测试数据：【138000000 6, 26, 手机号不合法, {}】","该用例对请求短信验证码接口参数进行测试"
"passed","Fri Mar 26 16:12:34 CST 2021","Fri Mar 26 16:12:34 CST 2021","7","register","test_04_register_param","TestRegister","","","测试数据：【美洋洋, 13800000057, , 验证码不合法】","该用例对注册接口参数进行校验"
"passed","Fri Mar 26 16:12:33 CST 2021","Fri Mar 26 16:12:33 CST 2021","7","register","test_04_register_param","TestRegister","","","测试数据：【123, 13800000057, 123456, 联系人姓名由2-10个汉字组成】","该用例对注册接口参数进行校验"
"passed","Fri Mar 26 16:12:34 CST 2021","Fri Mar 26 16:12:34 CST 2021","10","register","test_04_register_param","TestRegister","","","测试数据：【美洋洋, 138000000&7, 123456, 手机号不合法】","该用例对注册接口参数进行校验"
"passed","Fri Mar 26 16:12:34 CST 2021","Fri Mar 26 16:12:34 CST 2021","139","send_verification_code","test_02_send_verification_code_repeat","TestSendVerificationCode","","","相同手机号60s内重复请求验证码","相同手机号，请求验证码间隔时间 < 60s,调用接口请求短信验证码，预期第二次请求失败"
